repo_id,name,owner,stars,updated_at
R_kgDOJ8cGcA,DouyinLiveRecorder,ihmily,8534,2025-11-01 12:11:32.684332
R_kgDOJPHIXw,LMFlow,OptimalScale,8475,2025-11-01 12:11:35.033101
R_kgDOKgx67A,XAgent,OpenBMB,8457,2025-11-01 12:11:37.342144
R_kgDOKq2n8Q,EmotiVoice,netease-youdao,8363,2025-11-01 12:11:39.726679
R_kgDOKkuyPg,video-subtitle-remover,YaoFANGUK,8337,2025-11-01 12:11:42.039147
R_kgDOKBQ9ow,OpenRLHF,OpenRLHF,8290,2025-11-01 12:11:45.368828
R_kgDOKVXZtw,The-Grand-Complete-Data-Science-Materials,krishnaik06,8257,2025-11-01 12:11:47.742082
R_kgDOJyC3pg,FastSAM,CASIA-IVA-Lab,8124,2025-11-01 12:11:50.202046
R_kgDOI2D9Ww,polar,polarsource,8084,2025-11-01 12:11:52.503043
R_kgDOKiqzdw,agents,livekit,8038,2025-11-01 12:11:55.987637
R_kgDOI74gHg,EdgeGPT,acheong08,7974,2025-11-01 12:11:58.229669
R_kgDOKzRsIQ,mlx-examples,ml-explore,7958,2025-11-01 12:12:00.582325
R_kgDOKBCaZg,VALL-E-X,Plachtaa,7956,2025-11-01 12:12:02.921780
R_kgDOKH31kA,cognee,topoteretes,7839,2025-11-01 12:12:05.339564
R_kgDOIz_8sg,IF,deep-floyd,7837,2025-11-01 12:12:07.714687
R_kgDOKcWSkA,hello-sql,mouredev,7812,2025-11-01 12:12:10.042146
R_kgDOJNon3w,GPTCache,zilliztech,7810,2025-11-01 12:12:12.394552
R_kgDOI55lCg,paper-qa,Future-House,7792,2025-11-01 12:12:14.751620
R_kgDOKQSOaw,cs249r_book,harvard-edge,7634,2025-11-01 12:12:17.079985
R_kgDOJ-2Wvw,CodeGeeX2,zai-org,7611,2025-11-01 12:12:19.403849
R_kgDOJtVdAQ,MediaCrawler,NanmiCoder,38456,2025-11-01 15:22:36.517493
R_kgDOJygEMA,generative-models,Stability-AI,26558,2025-11-01 15:24:14.955169
R_kgDOJJ3cdQ,Chinese-LLaMA-Alpaca,ymcui,18937,2025-11-01 15:25:59.580758
R_kgDOJk1u1A,gorilla,ShishirPatil,12518,2025-11-01 15:28:07.289922
R_kgDOJKSTjA,AutoGPT,Significant-Gravitas,179405,2025-11-01 15:29:34.944905
